Planet Name,Host Name,RA,DEC,Distance [pc],Distance Upper Unc [pc],Distance Lower Unc [pc]
Kepler-181 b,Kepler-181,296.1512831,50.0957806,609.283,7.946,-7.946
Kepler-512 b,Kepler-512,298.2689217,48.9167391,467.375,4.888,-4.789
Kepler-128 b,Kepler-128,282.4922622,43.9802442,396.379,3.947,-3.872
Kepler-369 c,Kepler-369,293.6743322,47.9084727,,,
Kepler-80 c,Kepler-80,296.1125759,39.9787451,369.451,2.8945,-2.8945
Kepler-304 c,Kepler-304,294.4418031,40.5575408,434.684,5.295,-5.171
Kepler-1105 b,Kepler-1105,281.1117588,42.4549698,318.004,2.517,-2.479
K2-345 b,K2-345,132.7075876,21.7890367,162.408,0.893,-0.884
Kepler-445 b,Kepler-445,298.7363395,46.4991236,127.201,0.995,-0.995
XO-3 b,XO-3,65.4695814,57.8172095,213.053,2.724,-2.658
Kepler-1098 b,Kepler-1098,295.502673,43.2326992,1049.19,22.36,-21.46
Kepler-225 b,Kepler-225,292.1939846,47.4570808,561.101,12.701,-12.16
Kepler-26 b,Kepler-26,284.9410627,46.5664505,335.307,3.0565,-3.0565
Kepler-37 d,Kepler-37,284.0592503,44.5183733,63.9207,0.1196,-0.1191
KOI-351 c,KOI-351,284.4334642,49.3051239,848.254,10.8185,-10.8185
Kepler-111 c,Kepler-111,291.653163,44.6882613,657.223,6.014,-5.908
Kepler-1322 b,Kepler-1322,293.2045009,45.4353919,1350.32,70.33,-63.8
WASP-4 b,WASP-4,353.5629149,-42.0617794,267.206,3.771,-3.67
TOI-262 b,TOI-262,32.534687,-31.0706272,43.932,0.1174,-0.1168
OGLE-2014-BLG-0221L b,OGLE-2014-BLG-0221L,270.30375,-27.4267639,3680.0,1130.0,-1160.0
Kepler-886 b,Kepler-886,286.2717162,43.5952037,711.297,7.1515,-7.1515
CoRoT-21 b,CoRoT-21,101.0526207,-0.2991544,,,
WASP-82 b,WASP-82,72.6605916,1.8938365,275.664,3.122,-3.055
TOI-700 c,TOI-700,97.0957165,-65.5786149,31.1265,0.0206,-0.0206
Kepler-622 b,Kepler-622,284.4784454,40.9331723,284.761,1.676,-1.656
Kepler-657 b,Kepler-657,291.1973006,47.3077545,1691.88,79.05,-72.41
GJ 180 c,GJ 180,73.460097,-17.776194,11.9407,0.0045,-0.0045
Kepler-1983 b,Kepler-1983,297.042015,39.9121864,424.428,3.495,-3.439
Kepler-82 e,Kepler-82,292.8733696,42.9661583,904.326,22.0875,-22.0875
HD 164604 b,HD 164604,270.7787177,-28.5608343,39.3633,0.0963,-0.0959
Kepler-25 b,Kepler-25,286.6383905,39.4879038,243.249,1.414,-1.397
bet Pic b,bet Pic,86.8212337,-51.066148,19.7442,0.132,-0.1303
HAT-P-37 b,HAT-P-37,284.2960393,51.2691212,390.594,2.723,-2.686
Kepler-845 b,Kepler-845,290.9576363,49.2037262,431.051,3.275,-3.275
Kepler-1898 b,Kepler-1898,287.2058009,38.4981903,360.921,1.897,-1.878
WASP-74 b,WASP-74,304.538843,-1.0760033,149.216,1.149,-1.132
OGLE-2018-BLG-0506L b,OGLE-2018-BLG-0506L,267.6298333,-31.9240556,5600.0,1400.0,-1600.0
Kepler-933 b,Kepler-933,289.5685257,43.5385438,1017.2,29.37,-27.787
HD 3167 c,HD 3167,8.7401487,4.3807215,47.2899,0.1485,-0.1475
Kepler-172 e,Kepler-172,283.3684093,41.821839,828.592,18.482,-17.707
Kepler-271 c,Kepler-271,283.0029316,44.284108,404.542,3.848,-3.777
Kepler-377 b,Kepler-377,295.4220717,38.7356737,823.804,12.578,-12.211
Kepler-218 b,Kepler-218,295.4128785,46.2665801,656.38,6.355,-6.355
Kepler-52 d,Kepler-52,286.7380152,49.9757383,321.542,2.42,-2.383
Kepler-896 c,Kepler-896,282.4391402,43.7344291,2334.93,179.875,-179.875
TOI-329 b,TOI-329,351.3210955,-15.6346313,284.388,4.247,-4.125
Kepler-969 b,Kepler-969,288.3724989,47.9335642,390.354,2.572,-2.572
Kepler-757 b,Kepler-757,296.6804876,41.3865279,1068.68,36.7,-34.39
Kepler-1086 c,Kepler-1086,295.251187,45.8429537,466.084,7.178,-7.178
Kepler-326 d,Kepler-326,294.3255898,46.0022646,487.675,10.683,-10.683
Kepler-335 c,Kepler-335,296.0642944,45.4285986,1278.97,28.805,-28.805
Kepler-218 b,Kepler-218,295.4128785,46.2665801,656.38,6.355,-6.355
K2-113 b,K2-113,19.4493823,6.8688469,635.722,13.43,-13.43
Kepler-1416 b,Kepler-1416,298.6634624,43.8940593,949.59,16.9155,-16.9155
Kepler-381 d,Kepler-381,285.1828685,43.8310283,267.323,1.708,-1.687
Kepler-109 b,Kepler-109,290.3926795,40.2849074,474.861,5.349,-5.233
Kepler-462 b,Kepler-462,299.8211502,43.8142793,596.625,10.858,-10.484
55 Cnc e,55 Cnc,133.1468373,28.3298154,12.5855,0.0124,-0.0123
CoRoT-26 b,CoRoT-26,279.7504991,6.9697828,1045.18,,
Kepler-750 c,Kepler-750,289.0968274,44.004364,1296.02,33.645,-33.645
XO-4 b,XO-4,110.3880285,58.2681094,272.655,2.914,-2.855
Kepler-164 d,Kepler-164,287.7808115,47.6298453,890.758,13.684,-13.284
KELT-9 b,KELT-9,307.8598998,39.9389161,204.455,1.582,-1.558
MOA-2013-BLG-220L b,MOA-2013-BLG-220L,270.985417,-29.5447222,6500.0,,
Kepler-399 c,Kepler-399,299.5017242,40.6707669,740.537,,
55 Cnc e,55 Cnc,133.1468373,28.3298154,12.5855,0.0124,-0.0123
Kepler-1154 c,Kepler-1154,297.4771158,39.8772345,1460.1,44.73,-42.19
Kepler-1061 b,Kepler-1061,296.2300306,50.2752091,543.375,4.391,-4.323
K2-353 b,K2-353,201.6168564,-2.2819018,268.515,3.729,-3.629
Kepler-974 b,Kepler-974,285.0131082,40.2209547,134.311,0.447,-0.444
Kepler-661 b,Kepler-661,283.7107463,47.8631748,534.788,10.055,-9.697
WASP-3 b,WASP-3,278.6317411,35.6614312,231.161,1.648,-1.625
Kepler-1649 c,Kepler-1649,292.5029676,41.8299933,92.1913,0.5489,-0.5425
Kepler-1389 b,Kepler-1389,285.7174414,44.7583487,497.093,4.7,-4.7
TOI-2120 b,TOI-2120,23.507315,65.5139877,32.1755,0.0529,-0.0528
Kepler-1624 b,Kepler-1624,292.5798564,37.3762616,258.979,2.984,-2.918
HD 2685 b,HD 2685,7.3289156,-76.304032,196.852,0.777,-0.771
K2-75 c,K2-75,338.844896,-7.469895,561.93,15.381,-14.596
Kepler-245 d,Kepler-245,291.6389972,42.4363482,861.527,26.041,-24.582
K2-397 b,K2-397,79.9516586,21.2591617,199.354,1.598,-1.574
Kepler-107 c,Kepler-107,297.028162,48.2086019,525.997,5.697,-5.577
Kepler-1319 b,Kepler-1319,290.9564463,49.3667933,103.917,0.355,-0.353
Kepler-779 b,Kepler-779,285.6285208,44.3107855,283.155,2.6135,-2.6135
Kepler-102 c,Kepler-102,281.4824731,47.2078263,107.796,0.22,-0.219
Kepler-990 b,Kepler-990,297.9381813,46.8813194,802.163,12.304,-12.304
WASP-76 b,WASP-76,26.632936,2.700389,194.459,6.206,-5.839
Kepler-1513 b,Kepler-1513,289.7917561,39.2852655,349.247,2.57,-2.533
Kepler-1132 b,Kepler-1132,286.3675188,48.4238906,867.931,21.59,-20.584
Kepler-1608 b,Kepler-1608,295.563555,39.41757,,,
K2-31 b,K2-31,245.4405531,-23.548273,110.527,0.72,-0.712
Kepler-31 c,Kepler-31,294.0230229,45.8530535,1664.64,64.34,-64.34
Kepler-915 b,Kepler-915,290.5921293,45.7372184,849.036,9.92,-9.698
Kepler-311 c,Kepler-311,282.0612731,47.0854984,778.654,9.2165,-9.2165
Kepler-619 c,Kepler-619,290.8490899,48.4159782,900.678,16.3815,-16.3815
Kepler-415 b,Kepler-415,293.8045041,38.6390517,530.487,10.859,-10.859
Kepler-104 b,Kepler-104,287.6046621,42.1665104,400.785,4.483,-4.386
MOA-2022-BLG-249L b,MOA-2022-BLG-249L,268.8655417,-28.3060611,2000.0,420.0,-420.0
K2-279 b,K2-279,204.7792935,-6.0417592,182.983,1.608,-1.579
Kepler-1991 b,Kepler-1991,285.0360506,45.0709909,855.82,14.365,-13.906
Kepler-1534 b,Kepler-1534,292.395373,43.8691326,,,
Kepler-154 f,Kepler-154,289.7805393,49.8965624,915.212,16.92,-16.327
TOI-2379 b,TOI-2379,358.0920465,-53.043156,211.247,1.0895,-1.0895
Kepler-607 c,Kepler-607,291.0571451,44.632306,519.122,5.407,-5.407
TrES-4 b,TrES-4,268.3043361,37.2117397,515.98,7.027,-6.843
Kepler-575 b,Kepler-575,286.9638856,37.8296147,853.977,14.787,-14.301
Kepler-352 c,Kepler-352,299.8966237,46.0519022,252.733,1.399,-1.383
Kepler-402 e,Kepler-402,288.3701976,43.3546109,625.339,7.385,-7.217
Kepler-780 b,Kepler-780,281.7663511,44.2924898,557.652,,
Kepler-900 b,Kepler-900,296.177272,46.9989635,487.525,5.153,-5.048
Kepler-50 b,Kepler-50,288.1009312,50.0336844,250.11,1.876,-1.848
TOI-615 b,TOI-615,133.4086892,-40.543701,360.408,3.993,-3.909
Kepler-1555 b,Kepler-1555,287.6354587,45.7160327,2013.27,122.23,-109.27
K2-38 c,K2-38,240.0333095,-23.1894196,192.69,2.669,-2.597
Kepler-711 b,Kepler-711,297.4600468,42.8398172,624.575,11.327,-10.937
Kepler-798 b,Kepler-798,292.4782785,42.1422821,972.274,17.781,-17.781
K2-260 b,K2-260,76.8673317,16.8676948,663.834,19.395,-18.342
Kepler-200 b,Kepler-200,284.4099503,41.2374928,665.912,7.1445,-7.1445
Kepler-305 b,Kepler-305,299.2242557,40.343167,868.477,26.64,-25.126
Kepler-576 b,Kepler-576,295.1828896,38.6542028,617.55,11.337,-10.943
OGLE-2018-BLG-0977L b,OGLE-2018-BLG-0977L,268.506125,-30.6048056,6500.0,1200.0,-2200.0
Kepler-118 b,Kepler-118,299.2131881,41.4248195,574.228,6.899,-6.741
Kepler-139 d,Kepler-139,282.3919451,43.8894167,391.038,4.238,-4.149
Kepler-274 b,Kepler-274,292.9227926,38.4772173,1333.62,42.77,-42.77
Kepler-51 c,Kepler-51,296.4797624,49.9376486,783.831,13.669,-13.218
Kepler-293 b,Kepler-293,286.3580611,42.4064917,974.633,23.282,-22.238
HD 240237 b,HD 240237,348.9259334,58.0432233,933.377,31.9885,-31.9885
gam Lib c,gam Lib,233.8818636,-14.789502,47.4017,0.90845,-0.90845
Kepler-134 c,Kepler-134,284.7391156,49.5984448,334.797,2.404,-2.371
Kepler-1140 b,Kepler-1140,281.6940529,46.946521,656.48,10.986,-10.636
Kepler-256 d,Kepler-256,292.58042,46.0973588,1026.43,24.19,-23.11
HD 156279 b,HD 156279,258.0966686,63.3527828,36.1945,0.0361,-0.0359
Kepler-1932 b,Kepler-1932,285.3314903,41.0638435,713.733,13.178,-12.717
Kepler-871 b,Kepler-871,294.5270634,43.3681317,1976.05,146.09,-127.6
Kepler-21 b,Kepler-21,287.3619673,38.7141384,108.522,0.385,-0.382
Kepler-245 c,Kepler-245,291.6389972,42.4363482,861.527,26.041,-24.582
Kepler-1892 b,Kepler-1892,299.081007,42.0180957,851.595,25.704,-24.265
K2-375 b,K2-375,130.5013137,20.3593003,696.1,22.17,-20.865
Kepler-1680 b,Kepler-1680,297.0746571,39.9338893,310.315,1.55,-1.535
GJ 676 A d,GJ 676 A,262.5448903,-51.6377777,16.0272,0.0101,-0.0101
Kepler-633 c,Kepler-633,295.2173259,40.5921599,680.54,,
Kepler-256 e,Kepler-256,292.58042,46.0973588,1026.43,24.19,-23.11
HAT-P-21 b,HAT-P-21,171.2749348,41.0280207,277.278,3.215,-3.144
CoRoT-7 c,CoRoT-7,100.9561682,-1.0630076,159.906,0.917,-0.906
TOI-1273 b,TOI-1273,214.1208564,58.3902534,177.118,1.222,-1.206
Kepler-80 d,Kepler-80,296.1125759,39.9787451,369.451,2.8945,-2.8945
Kepler-1303 b,Kepler-1303,284.287147,42.3555784,897.783,22.027,-21.014
KOI-351 d,KOI-351,284.4334642,49.3051239,848.254,10.8185,-10.8185
Kepler-586 b,Kepler-586,293.0571982,45.5511266,693.766,10.3935,-10.3935
Kepler-25 c,Kepler-25,286.6383905,39.4879038,243.249,1.414,-1.397
Kepler-375 b,Kepler-375,288.6178715,48.0983639,1238.81,54.45,-50.12
Kepler-1663 b,Kepler-1663,290.4015156,48.8227234,337.926,3.407,-3.407
Kepler-292 b,Kepler-292,295.7661979,42.4242822,1056.48,45.79,-42.19
Kepler-887 c,Kepler-887,290.0907893,39.8169085,886.588,12.515,-12.177
Kepler-356 c,Kepler-356,292.4210998,37.6827919,707.559,10.503,-10.205
Kepler-421 b,Kepler-421,283.2568116,45.0876823,348.558,2.039,-2.015
Kepler-29 c,Kepler-29,298.348382,47.4913021,832.532,26.3765,-26.3765
Kepler-1828 b,Kepler-1828,292.4275963,37.3207616,871.81,17.8935,-17.8935
Kepler-1271 b,Kepler-1271,286.3442954,37.4119347,831.991,19.101,-18.277
HATS-46 b,HATS-46,6.7026401,-56.3161021,453.808,3.927,-3.861
Kepler-1330 b,Kepler-1330,290.5767116,39.9568913,1720.48,68.88,-63.86
Kepler-68 c,Kepler-68,291.0323102,49.0402129,144.166,0.436,-0.434
TRAPPIST-1 c,TRAPPIST-1,346.6263919,-5.0434618,,,
Kepler-982 b,Kepler-982,288.4176803,46.5904531,801.479,15.332,-14.778
Kepler-1104 b,Kepler-1104,294.4685197,49.3309789,530.658,12.837,-12.255
Kepler-772 b,Kepler-772,291.423582,38.2165603,1130.21,24.22,-24.22
Kepler-953 b,Kepler-953,288.9716297,44.6246451,258.893,,
WASP-183 b,WASP-183,163.7888521,-0.7370663,325.377,3.979,-3.885
HD 196050 b,HD 196050,309.4637796,-60.6347649,50.6742,0.1021,-0.1017
